soc_code,soc_title,aioe,isco_code,isco_title,n_isco,aioe_soc_split,anzsco_code,anzsco_title,n_anzsco,aioe_path
11-9141,"Property, Real Estate, and Community Association Managers",1.214595,3334,Real estate agents and property managers,1.0,1.214595,612114,Real Estate Agent,5.0,0.24291900000000002
11-9141,"Property, Real Estate, and Community Association Managers",1.214595,3334,Real estate agents and property managers,1.0,1.214595,612115,Real Estate Representative,5.0,0.24291900000000002
11-9151,Social and Community Service Managers,1.225244,1344,Social welfare managers,1.0,1.225244,134214,Welfare Centre Manager,2.0,0.612622
11-9151,Social and Community Service Managers,1.225244,1344,Social welfare managers,1.0,1.225244,134299,Health and Welfare Services Managers nec,2.0,0.612622
11-9161,Emergency Management Directors,0.901037,1112,Senior government officials,1.0,0.901037,111111,Chief Executive or Managing Director,3.0,0.3003456666666667
11-9161,Emergency Management Directors,0.901037,1112,Senior government officials,1.0,0.901037,111211,Corporate General Manager,3.0,0.3003456666666667
11-9161,Emergency Management Directors,0.901037,1112,Senior government officials,1.0,0.901037,139999,Specialist Managers nec,3.0,0.3003456666666667
11-9199,"Managers, All Other",0.9099647,1114,Senior officials of special-interest organizations,7.0,0.12999495714285714,111111,Chief Executive or Managing Director,2.0,0.06499747857142857
11-9199,"Managers, All Other",0.9099647,1114,Senior officials of special-interest organizations,7.0,0.12999495714285714,111211,Corporate General Manager,2.0,0.06499747857142857
11-9199,"Managers, All Other",0.9099647,1213,Policy and planning managers,7.0,0.12999495714285714,132411,Policy and Planning Manager,3.0,0.04333165238095238
11-9199,"Managers, All Other",0.9099647,1213,Policy and planning managers,7.0,0.12999495714285714,139916,Quality Assurance Manager,3.0,0.04333165238095238
11-9199,"Managers, All Other",0.9099647,1213,Policy and planning managers,7.0,0.12999495714285714,139917,Regulatory Affairs Manager,3.0,0.04333165238095238
11-9199,"Managers, All Other",0.9099647,1219,Business services and administration managers not elsewhere classified,7.0,0.12999495714285714,132111,Corporate Services Manager,3.0,0.04333165238095238
11-9199,"Managers, All Other",0.9099647,1219,Business services and administration managers not elsewhere classified,7.0,0.12999495714285714,149212,Customer Service Manager,3.0,0.04333165238095238
11-9199,"Managers, All Other",0.9099647,1219,Business services and administration managers not elsewhere classified,7.0,0.12999495714285714,149913,Facilities Manager,3.0,0.04333165238095238
11-9199,"Managers, All Other",0.9099647,1322,Mining managers,7.0,0.12999495714285714,133513,Production Manager (Mining),1.0,0.12999495714285714
11-9199,"Managers, All Other",0.9099647,1349,Professional services managers not elsewhere classified,7.0,0.12999495714285714,133211,Engineering Manager,9.0,0.014443884126984127
11-9199,"Managers, All Other",0.9099647,1349,Professional services managers not elsewhere classified,7.0,0.12999495714285714,139112,Commissioned Fire Officer,9.0,0.014443884126984127
11-9199,"Managers, All Other",0.9099647,1349,Professional services managers not elsewhere classified,7.0,0.12999495714285714,139113,Commissioned Police Officer,9.0,0.014443884126984127
11-9199,"Managers, All Other",0.9099647,1349,Professional services managers not elsewhere classified,7.0,0.12999495714285714,139911,Arts Administrator or Manager,9.0,0.014443884126984127
11-9199,"Managers, All Other",0.9099647,1349,Professional services managers not elsewhere classified,7.0,0.12999495714285714,139912,Environmental Manager,9.0,0.014443884126984127
11-9199,"Managers, All Other",0.9099647,1349,Professional services managers not elsewhere classified,7.0,0.12999495714285714,139913,Laboratory Manager,9.0,0.014443884126984127
11-9199,"Managers, All Other",0.9099647,1349,Professional services managers not elsewhere classified,7.0,0.12999495714285714,139915,Sports Administrator,9.0,0.014443884126984127
11-9199,"Managers, All Other",0.9099647,1349,Professional services managers not elsewhere classified,7.0,0.12999495714285714,139999,Specialist Managers nec,9.0,0.014443884126984127
11-9199,"Managers, All Other",0.9099647,1349,Professional services managers not elsewhere classified,7.0,0.12999495714285714,224611,Librarian,9.0,0.014443884126984127
11-9199,"Managers, All Other",0.9099647,1431,"Sports, recreation and cultural centre managers",7.0,0.12999495714285714,149111,Amusement Centre Manager,4.0,0.032498739285714284
11-9199,"Managers, All Other",0.9099647,1431,"Sports, recreation and cultural centre managers",7.0,0.12999495714285714,149112,Fitness Centre Manager,4.0,0.032498739285714284
11-9199,"Managers, All Other",0.9099647,1431,"Sports, recreation and cultural centre managers",7.0,0.12999495714285714,149113,Sports Centre Manager,4.0,0.032498739285714284
11-9199,"Managers, All Other",0.9099647,1431,"Sports, recreation and cultural centre managers",7.0,0.12999495714285714,149912,Cinema or Theatre Manager,4.0,0.032498739285714284
