isco_code,anzsco_code,anzsco_title
2422,224911,Electorate Officer
2423,223111,Human Resource Adviser
2423,223112,Recruitment Consultant
2423,223113,Workplace Relations Adviser
2423,272111,Careers Counsellor
2424,223311,Training and Development Professional
2431,212411,Copywriter
2431,225111,Advertising Specialist
2431,225112,Market Research Analyst
2431,225113,Marketing Specialist
2431,225114,Content Creator (Marketing)
2431,225115,Digital Marketing Analyst
2432,212411,Copywriter
2432,224912,Liaison Officer
2432,225311,Public Relations Professional
2433,225411,Sales Representative (Industrial Products)
2433,225412,Sales Representative (Medical and Pharmaceutical Products)
2433,225499,Technical Sales Representatives nec
2433,234115,Agronomist
2434,225211,ICT Account Manager
2434,225212,ICT Business Development Manager
2434,225213,ICT Sales Representative
2511,261111,ICT Business Analyst
2511,261112,Systems Analyst
2512,261311,Analyst Programmer
2512,261313,Software Engineer
2512,261315,Cyber Security Engineer
2512,261316,Devops Engineer
2513,261211,Multimedia Specialist
2513,261212,Web Developer
2514,261312,Developer Programmer
2519,261113,User Experience Designer (ICT)
2519,261314,Software Tester
2519,261317,Penetration Tester
2519,261399,Software and Applications Programmers nec
2519,263211,ICT Quality Assurance Engineer
2519,263212,ICT Support Engineer
2519,263213,ICT Systems Test Engineer
2519,263299,ICT Support and Test Engineers nec
2521,262111,Database Administrator
2522,262113,Systems Administrator
2522,263112,Network Administrator
2523,263111,Computer Network and Systems Engineer
2523,263113,Network Analyst
2529,262114,Cyber Governance Risk and Compliance Specialist
2529,262115,Cyber Security Advice and Assessment Specialist
2529,262116,Cyber Security Analyst
2529,262117,Cyber Security Architect
2529,262118,Cyber Security Operations Coordinator
2611,271111,Barrister
2611,271214,Intellectual Property Lawyer
2611,271311,Solicitor
2612,271211,Judge
2612,271212,Magistrate
2619,224913,Migration Agent / Immigration Consultant
2619,271213,Tribunal Member
2619,271299,Judicial and Other Legal Professionals nec
2621,224211,Archivist
2621,224212,Gallery or Museum Curator
2621,224214,Records Manager
2621,234911,Conservator
2622,224214,Records Manager
2622,224611,Librarian
2622,224999,Information and Organisation Professionals nec
2631,224311,Economist
2631,224511,Land Economist
2632,272414,Archaeologist
2632,272499,Social Professionals nec
2633,272411,Historian
2633,272499,Social Professionals nec
2634,272311,Clinical Psychologist
2634,272312,Educational Psychologist
2634,272313,Organisational Psychologist
2634,272314,Psychotherapist
2634,272399,Psychologists nec
2635,272112,Drug and Alcohol Counsellor
2635,272113,Family and Marriage Counsellor
2635,272114,Rehabilitation Counsellor
2635,272199,Counsellors nec
2635,272511,Social Worker
2635,272611,Community Arts Worker
2635,272612,Recreation Officer / Recreation Coordinator
2635,272613,Welfare Worker
2635,411714,Parole or Probation Officer
2636,139999,Specialist Managers nec
2636,272211,Minister of Religion
2641,212211,Author
2641,212212,Book or Script Editor
2641,212415,Technical Writer
2641,212499,Journalists and Other Writers nec
2642,212412,Newspaper or Periodical Editor
2642,212413,Print Journalist
2642,212414,Radio Journalist
2642,212416,Television Journalist
2642,212499,Journalists and Other Writers nec
2643,272412,Interpreter
2643,272413,Translator
2643,272499,Social Professionals nec
2651,211411,Painter (Visual Arts)
2651,211412,Potter or Ceramic Artist
2651,211413,Sculptor
2651,232412,Illustrator
2652,211113,Entertainer or Variety Artist
2652,211211,Composer
2652,211212,Music Director
2652,211213,Musician (Instrumental)
2652,211214,Singer
2652,211299,Music Professionals nec
2653,211112,Dancer or Choreographer
2654,212111,Artistic Director
2654,212112,Media Producer (excluding Video)
2654,212311,"Art Director (Film, Television or Stage)"
2654,212312,"Director (Film, Television, Radio or Stage)"
2654,212313,Director of Photography
2654,212314,Film and Video Editor
2654,212315,Program Director (Television or Radio)
2654,212317,Technical Director
2654,212318,Video Producer
2654,212399,"Film, Television, Radio and Stage Directors nec"
2655,211111,Actor
2655,211199,"Actors, Dancers and Other Entertainers nec"
2656,212113,Radio Presenter
2656,212114,Television Presenter
2659,211113,Entertainer or Variety Artist
2659,211199,"Actors, Dancers and Other Entertainers nec"
3111,311411,Chemistry Technician
