anzsco_code,anzsco_title,aioe_mean,aioe_sum,n_paths
142112,p,0.017747051666666666,0.03549410333333333,2
142111,p,0.017747051666666666,0.03549410333333333,2
312412,p,0.01462509375,0.0292501875,2
313211,p,0.007312546875,0.01462509375,2
431999,p,0.0007017333055555568,0.006315599750000012,9
399516,p,0.0005177951388888868,0.0031067708333333208,6
399599,p,0.0005177951388888868,0.0031067708333333208,6
311314,p,0.0002565390958605668,0.001282695479302834,5
311399,p,0.0002565390958605668,0.001282695479302834,5
121312,p,-0.005065092169978359,-0.015195276509935077,3
121313,p,-0.005065092169978359,-0.015195276509935077,3
121314,p,-0.005065092169978359,-0.015195276509935077,3
121315,p,-0.005065092169978359,-0.015195276509935077,3
121316,p,-0.005065092169978359,-0.015195276509935077,3
121318,p,-0.005065092169978359,-0.015195276509935077,3
121322,p,-0.005065092169978359,-0.015195276509935077,3
121323,p,-0.005065092169978359,-0.015195276509935077,3
234314,p,-0.0024867723809523837,-0.022380951428571452,9
121512,p,-0.011546608723522854,-0.034639826170568565,3
121513,p,-0.011546608723522854,-0.034639826170568565,3
121511,p,-0.011546608723522854,-0.034639826170568565,3
121613,p,-0.013032045994585127,-0.03909613798375538,3
121612,p,-0.013032045994585127,-0.03909613798375538,3
311499,p,-0.004003079358974358,-0.05204003166666665,13
312912,p,-0.004935759027777777,-0.05922910833333332,12
311313,p,-0.016316167592592593,-0.06526467037037037,4
312999,p,-0.006183785606060605,-0.06802164166666666,11
121599,p,-0.014058064135212614,-0.07029032067606307,5
312112,p,-0.013572767500000001,-0.08143660500000001,6
331212,p,-0.050754824999999996,-0.10150964999999999,2
121311,p,-0.03443917474916388,-0.10331752424749165,3
121321,p,-0.03443917474916388,-0.10331752424749165,3
711712,p,-0.1147088888888889,-0.1147088888888889,1
121711,p,-0.034728515997770354,-0.13891406399108142,4
839312,p,-0.04891528444444445,-0.14674585333333334,3
839313,p,-0.04891528444444445,-0.14674585333333334,3
121611,p,-0.03711558586956521,-0.14846234347826084,4
561311,p,-0.050973666666666674,-0.15292100000000003,3
121111,p,-0.05970722692307692,-0.17912168076923077,3
121616,p,-0.029942754361761425,-0.17965652617056854,6
312913,p,-0.06365575555555557,-0.1909672666666667,3
121799,p,-0.033550404895949466,-0.20130242937569678,6
363299,p,-0.03524889909502263,-0.21149339457013577,6
121399,p,-0.030705576864056665,-0.21493903804839665,7
121699,p,-0.030812650421046344,-0.24650120336837075,8
313199,p,-0.03249464671717172,-0.25995717373737376,8
363114,p,-0.03047219362026862,-0.2742497425824176,9
363112,p,-0.07012657692307693,-0.2805063076923077,4
899212,p,-0.07012657692307693,-0.2805063076923077,4
231211,p,-0.07012657692307693,-0.2805063076923077,4
831113,p,-0.04837037136752137,-0.2902222282051282,6
411112,p,-0.154741375,-0.30948275,2
442299,p,-0.03328893047619048,-0.33288930476190476,10
399915,p,-0.178495225,-0.35699045,2
832112,p,-0.183675,-0.36735,2
832113,p,-0.183675,-0.36735,2
832111,p,-0.183675,-0.36735,2
832199,p,-0.183675,-0.36735,2
832115,p,-0.183675,-0.36735,2
832114,p,-0.183675,-0.36735,2
451899,p,-0.029075216205128207,-0.3779778106666667,13
311112,p,-0.1964406375,-0.392881275,2
311212,p,-0.027068174,-0.40602261,15
423111,p,-0.08331864800000001,-0.41659324000000003,5
711913,p,-0.15868778703703704,-0.4760633611111111,3
361311,p,-0.08354312666666668,-0.50125876,6
211412,p,-0.13088043437500002,-0.5235217375000001,4
423314,p,-0.04050430000000001,-0.5265559000000001,13
811411,p,-0.1525721611111111,-0.6102886444444444,4
811211,p,-0.1525721611111111,-0.6102886444444444,4
211499,p,-0.2036231088888889,-0.6108693266666667,3
811699,p,-0.6302045,-0.6302045,1
311413,p,-0.13582756,-0.6791378,5
711411,p,-0.07702898148148148,-0.6932608333333333,9
423211,p,-0.07024713833333332,-0.7024713833333333,10
899512,p,-0.14428122583333333,-0.7214061291666667,5
621111,p,-0.05626280261538462,-0.731416434,13
363199,p,-0.06803449192474192,-0.7483794111721611,11
843113,p,-0.13096750865384615,-0.7858050519230769,6
843112,p,-0.13096750865384615,-0.7858050519230769,6
843111,p,-0.13096750865384615,-0.7858050519230769,6
831313,p,-0.087652029985755,-0.7888682698717949,9
831312,p,-0.087652029985755,-0.7888682698717949,9
831311,p,-0.087652029985755,-0.7888682698717949,9
899999,p,-0.08233404248397436,-0.8233404248397436,10
741111,p,-0.07492101405122654,-0.8241311545634921,11
831114,p,-0.12424504450549452,-0.8697153115384616,7
811511,p,-0.45723230000000004,-0.9144646000000001,2
811512,p,-0.45723230000000004,-0.9144646000000001,2
