soc_code,soc_title,aioe,isco_code,isco_title,isco_count,aioe_weighted
25-4031,Library Technicians,0.1795232,4411,Library clerks,2.0,0.0897616
25-9011,Audio-Visual and Multimedia Collections Specialists,0.272109,2622,Librarians and related information professionals,1.0,0.272109
25-9021,Farm and Home Management Advisors,0.7838627,2132,"Farming, forestry and fisheries advisers",1.0,0.7838627
25-9031,Instructional Coordinators,1.32382,2351,Education methods specialists,1.0,1.32382
25-9041,Teacher Assistants,0.7475703,5312,Teachers' aides,1.0,0.7475703
27-1011,Art Directors,0.727281,2654,"Film, stage and related directors and producers",1.0,0.727281
27-1012,Craft Artists,-0.9173622,2651,Visual artists,5.0,-0.18347244000000001
27-1012,Craft Artists,-0.9173622,3433,"Gallery, museum and library technicians",5.0,-0.18347244000000001
27-1012,Craft Artists,-0.9173622,7314,Potters and related workers,5.0,-0.18347244000000001
27-1012,Craft Artists,-0.9173622,7317,"Handicraft workers in wood, basketry and related materials",5.0,-0.18347244000000001
27-1012,Craft Artists,-0.9173622,7319,Handicraft workers not elsewhere classified,5.0,-0.18347244000000001
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",-0.6984655,2651,Visual artists,2.0,-0.34923275
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",-0.6984655,3118,Draughtspersons,2.0,-0.34923275
27-1014,Multimedia Artists and Animators,0.4317718,2166,Graphic and multimedia designers,1.0,0.4317718
27-1021,Commercial and Industrial Designers,0.5598583,2163,Product and garment designers,1.0,0.5598583
27-1022,Fashion Designers,0.5077618,2163,Product and garment designers,1.0,0.5077618
27-1023,Floral Designers,-0.2188882,7549,Craft and related workers not elsewhere classified,1.0,-0.2188882
27-1024,Graphic Designers,0.5274013,2166,Graphic and multimedia designers,1.0,0.5274013
27-1025,Interior Designers,0.8219336,3432,Interior designers and decorators,1.0,0.8219336
27-1026,Merchandise Displayers and Window Trimmers,-0.7348464,3432,Interior designers and decorators,1.0,-0.7348464
27-1027,Set and Exhibit Designers,-0.1602642,3432,Interior designers and decorators,1.0,-0.1602642
27-2011,Actors,0.5784018,2655,Actors,1.0,0.5784018
27-2012,Producers and Directors,0.8597838,2654,"Film, stage and related directors and producers",1.0,0.8597838
27-2021,Athletes and Sports Competitors,-1.290383,3421,Athletes and sports players,1.0,-1.290383
27-2022,Coaches and Scouts,0.3188508,3422,"Sports coaches, instructors and officials",1.0,0.3188508
27-2023,"Umpires, Referees, and Other Sports Officials",-0.1454976,3422,"Sports coaches, instructors and officials",1.0,-0.1454976
27-2031,Dancers,-1.79308,2653,Dancers and choreographers,1.0,-1.79308
27-2032,Choreographers,-0.8860701,2653,Dancers and choreographers,1.0,-0.8860701
27-2041,Music Directors and Composers,1.03168,2652,"Musicians, singers and composers",1.0,1.03168
27-2042,Musicians and Singers,0.2904993,2652,"Musicians, singers and composers",1.0,0.2904993
27-3011,Radio and Television Announcers,1.123739,2656,"Announcers on radio, television and other media",1.0,1.123739
27-3012,Public Address System and Other Announcers,0.7731112,2656,"Announcers on radio, television and other media",1.0,0.7731112
27-3021,Broadcast News Analysts,1.229622,2656,"Announcers on radio, television and other media",1.0,1.229622
27-3022,Reporters and Correspondents,1.47074,2642,Journalists,1.0,1.47074
27-3031,Public Relations Specialists,1.517637,2432,Public relations professionals,1.0,1.517637
27-3041,Editors,1.190631,2641,Authors and related writers,2.0,0.5953155
27-3041,Editors,1.190631,2642,Journalists,2.0,0.5953155
27-3042,Technical Writers,1.316551,2641,Authors and related writers,1.0,1.316551
27-3043,Writers and Authors,1.170131,2641,Authors and related writers,2.0,0.5850655
27-3043,Writers and Authors,1.170131,2431,Advertising and marketing professionals,2.0,0.5850655
27-3091,Interpreters and Translators,1.351959,2643,"Translators, interpreters and other linguists",1.0,1.351959
27-4011,Audio and Video Equipment Technicians,-0.120451,3521,Broadcasting and audio-visual technicians,1.0,-0.120451
27-4012,Broadcast Technicians,-0.1105672,3521,Broadcasting and audio-visual technicians,1.0,-0.1105672
27-4013,Radio Operators,0.9408438,3521,Broadcasting and audio-visual technicians,1.0,0.9408438
27-4014,Sound Engineering Technicians,0.3384944,3521,Broadcasting and audio-visual technicians,1.0,0.3384944
27-4021,Photographers,-0.3821391,3431,Photographers,1.0,-0.3821391
27-4031,"Camera Operators, Television, Video, and Motion Picture",-0.6289793,3521,Broadcasting and audio-visual technicians,1.0,-0.6289793
27-4032,Film and Video Editors,0.6566918,2654,"Film, stage and related directors and producers",1.0,0.6566918
29-1011,Chiropractors,0.0516267,2269,Health professionals not elsewhere classified,1.0,0.0516267
29-1021,"Dentists, General",-0.3476516,2261,Dentists,1.0,-0.3476516
29-1022,Oral and Maxillofacial Surgeons,-0.3302738,2261,Dentists,1.0,-0.3302738
29-1023,Orthodontists,0.0205331,2261,Dentists,1.0,0.0205331
29-1024,Prosthodontists,-0.2144845,2261,Dentists,1.0,-0.2144845
29-1031,Dietitians and Nutritionists,1.363892,2265,Dieticians and nutritionists,1.0,1.363892
29-1041,Optometrists,0.2003319,2267,Optometrists and ophthalmic opticians,1.0,0.2003319
29-1051,Pharmacists,0.5705959,2262,Pharmacists,1.0,0.5705959
29-1061,Anesthesiologists,0.211804,2212,Specialist medical practitioners ,1.0,0.211804
29-1062,Family and General Practitioners,1.115116,2211,Generalist medical practitioners ,1.0,1.115116
29-1063,"Internists, General",1.001316,2211,Generalist medical practitioners ,1.0,1.001316
29-1064,Obstetricians and Gynecologists,0.3644282,2212,Specialist medical practitioners ,1.0,0.3644282
29-1065,"Pediatricians, General",1.146142,2211,Generalist medical practitioners ,1.0,1.146142
29-1066,Psychiatrists,1.365892,2212,Specialist medical practitioners ,1.0,1.365892
29-1067,Surgeons,-0.145476,2212,Specialist medical practitioners ,1.0,-0.145476
29-1069,"Physicians and Surgeons, All Other",0.6186871,2211,Generalist medical practitioners ,2.0,0.30934355
29-1069,"Physicians and Surgeons, All Other",0.6186871,2212,Specialist medical practitioners ,2.0,0.30934355
29-1071,Physician Assistants,0.0402409,2240,Paramedical practitioners,1.0,0.0402409
29-1081,Podiatrists,0.5537257,2269,Health professionals not elsewhere classified,1.0,0.5537257
29-1122,Occupational Therapists,0.2657048,2269,Health professionals not elsewhere classified,1.0,0.2657048
29-1123,Physical Therapists,-0.0588146,2264,Physiotherapists ,1.0,-0.0588146
29-1124,Radiation Therapists,-0.3161771,3211,Medical imaging and therapeutic equipment technicians,1.0,-0.3161771
29-1125,Recreational Therapists,0.4009678,2269,Health professionals not elsewhere classified,1.0,0.4009678
29-1126,Respiratory Therapists,-0.1994213,3259,Health associate professionals not elsewhere classified,1.0,-0.1994213
29-1127,Speech-Language Pathologists,1.343344,2266,Audiologists and speech therapists,1.0,1.343344
29-1128,Exercise Physiologists,0.3066196,2264,Physiotherapists ,1.0,0.3066196
29-1131,Veterinarians,-0.0842553,2250,Veterinarians,1.0,-0.0842553
29-1141,Registered Nurses,0.2723904,2221,Nursing professionals,1.0,0.2723904
29-1151,Nurse Anesthetists,0.1344116,2221,Nursing professionals,1.0,0.1344116
29-1161,Nurse Midwives,0.3052241,2222,Midwifery professionals,1.0,0.3052241
29-1171,Nurse Practitioners,0.3016596,2221,Nursing professionals,1.0,0.3016596
29-1181,Audiologists,0.6955392,2266,Audiologists and speech therapists,1.0,0.6955392
29-1199,"Health Diagnosing and Treating Practitioners, All Other",0.6788277,2230,Traditional and complementary medicine professionals,3.0,0.2262759
29-1199,"Health Diagnosing and Treating Practitioners, All Other",0.6788277,2269,Health professionals not elsewhere classified,3.0,0.2262759
29-1199,"Health Diagnosing and Treating Practitioners, All Other",0.6788277,3255,Physiotherapy technicians and assistants,3.0,0.2262759
29-2011,Medical and Clinical Laboratory Technologists,-0.042349,3212,Medical and pathology laboratory technicians ,1.0,-0.042349
29-2012,Medical and Clinical Laboratory Technicians,-0.2827884,3212,Medical and pathology laboratory technicians ,1.0,-0.2827884
29-2021,Dental Hygienists,-0.3524675,3251,Dental assistants and therapists,1.0,-0.3524675
29-2031,Cardiovascular Technologists and Technicians,-0.131293,3259,Health associate professionals not elsewhere classified,1.0,-0.131293
29-2032,Diagnostic Medical Sonographers,-0.2743202,3211,Medical imaging and therapeutic equipment technicians,1.0,-0.2743202
29-2033,Nuclear Medicine Technologists,-0.0226015,3211,Medical imaging and therapeutic equipment technicians,1.0,-0.0226015
29-2034,Radiologic Technologists,-0.4048342,3211,Medical imaging and therapeutic equipment technicians,1.0,-0.4048342
29-2035,Magnetic Resonance Imaging Technologists,-0.1366283,3211,Medical imaging and therapeutic equipment technicians,1.0,-0.1366283
29-2041,Emergency Medical Technicians and Paramedics,-0.6994473,3258,Ambulance workers,1.0,-0.6994473
29-2051,Dietetic Technicians,-0.1277389,3259,Health associate professionals not elsewhere classified,1.0,-0.1277389
29-2052,Pharmacy Technicians,-0.0233856,3213,Pharmaceutical technicians and assistants,1.0,-0.0233856
29-2053,Psychiatric Technicians,-0.0011,3259,Health associate professionals not elsewhere classified,1.0,-0.0011
29-2054,Respiratory Therapy Technicians,-0.0883059,3259,Health associate professionals not elsewhere classified,1.0,-0.0883059
29-2055,Surgical Technologists,-0.5417635,3259,Health associate professionals not elsewhere classified,1.0,-0.5417635
29-2056,Veterinary Technologists and Technicians,-0.2819632,3240,Veterinary technicians and assistants,1.0,-0.2819632
29-2057,Ophthalmic Medical Technicians,0.0829021,3256,Medical assistants,1.0,0.0829021
29-2061,Licensed Practical and Licensed Vocational Nurses,-0.2979922,3221,Nursing associate professionals,1.0,-0.2979922
29-2071,Medical Records and Health Information Technicians,0.5524089,3252,Medical records and health information technicians,1.0,0.5524089
29-2081,"Opticians, Dispensing",0.0285751,3254,Dispensing opticians,1.0,0.0285751
29-2091,Orthotists and Prosthetists,0.1256412,3214,Medical and dental prosthetic technicians,1.0,0.1256412
29-2092,Hearing Aid Specialists,0.4584805,3214,Medical and dental prosthetic technicians,1.0,0.4584805
29-2099,"Health Technologists and Technicians, All Other",-0.2805267,3259,Health associate professionals not elsewhere classified,1.0,-0.2805267
29-9011,Occupational Health and Safety Specialists,0.5978742,2263,Environmental and occupational health and hygiene professionals,1.0,0.5978742
29-9012,Occupational Health and Safety Technicians,0.3289637,3257,Environmental and occupational health inspectors and associates,1.0,0.3289637
29-9091,Athletic Trainers,-0.0953968,3423,Fitness and recreation instructors and program leaders,1.0,-0.0953968
29-9092,Genetic Counselors,1.477603,2269,Health professionals not elsewhere classified,1.0,1.477603
29-9099,"Healthcare Practitioners and Technical Workers, All Other",0.2785947,3222,Midwifery associate professionals,3.0,0.09286489999999999
29-9099,"Healthcare Practitioners and Technical Workers, All Other",0.2785947,3230,Traditional and complementary medicine associate professionals,3.0,0.09286489999999999
29-9099,"Healthcare Practitioners and Technical Workers, All Other",0.2785947,3259,Health associate professionals not elsewhere classified,3.0,0.09286489999999999
31-1011,Home Health Aides,-0.404814,5322,Home-based personal care workers,1.0,-0.404814
31-1013,Psychiatric Aides,-0.2746419,5321,Health care assistants,1.0,-0.2746419
31-1014,Nursing Assistants,-0.5148466,5321,Health care assistants,1.0,-0.5148466
31-1015,Orderlies,-1.08762,5329,Personal care workers in health services not elsewhere classified,1.0,-1.08762
31-2011,Occupational Therapy Assistants,-0.0745205,3259,Health associate professionals not elsewhere classified,1.0,-0.0745205
31-2012,Occupational Therapy Aides,-0.3573223,5329,Personal care workers in health services not elsewhere classified,1.0,-0.3573223
31-2021,Physical Therapist Assistants,-0.2472779,3255,Physiotherapy technicians and assistants,1.0,-0.2472779
31-2022,Physical Therapist Aides,-0.6148192,5329,Personal care workers in health services not elsewhere classified,1.0,-0.6148192
31-9011,Massage Therapists,-0.6818891,3255,Physiotherapy technicians and assistants,1.0,-0.6818891
31-9091,Dental Assistants,-0.3458537,3251,Dental assistants and therapists,2.0,-0.17292685
31-9091,Dental Assistants,-0.3458537,5329,Personal care workers in health services not elsewhere classified,2.0,-0.17292685
31-9092,Medical Assistants,0.2356488,3256,Medical assistants,1.0,0.2356488
31-9093,Medical Equipment Preparers,-0.7762876,5329,Personal care workers in health services not elsewhere classified,1.0,-0.7762876
31-9094,Medical Transcriptionists,1.196181,3344,Medical secretaries,1.0,1.196181
31-9095,Pharmacy Aides,-0.0284926,5329,Personal care workers in health services not elsewhere classified,1.0,-0.0284926
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,-0.5899488,3240,Veterinary technicians and assistants,2.0,-0.2949744
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,-0.5899488,5164,Pet groomers and animal care workers,2.0,-0.2949744
31-9097,Phlebotomists,-0.2526035,5329,Personal care workers in health services not elsewhere classified,1.0,-0.2526035
31-9099,"Healthcare Support Workers, All Other",0.2520649,3259,Health associate professionals not elsewhere classified,2.0,0.12603245
31-9099,"Healthcare Support Workers, All Other",0.2520649,5329,Personal care workers in health services not elsewhere classified,2.0,0.12603245
33-1011,First-Line Supervisors of Correctional Officers,-0.3614321,5413,Prison guards,1.0,-0.3614321
33-1012,First-Line Supervisors of Police and Detectives,-0.1961966,3351,Customs and border inspectors,3.0,-0.06539886666666667
33-1012,First-Line Supervisors of Police and Detectives,-0.1961966,3355,Police inspectors and detectives,3.0,-0.06539886666666667
33-1012,First-Line Supervisors of Police and Detectives,-0.1961966,5412,Police officers,3.0,-0.06539886666666667
33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,-0.636405,3112,Civil engineering technicians,3.0,-0.212135
33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,-0.636405,3119,Physical and engineering science technicians not elsewhere classified,3.0,-0.212135
33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,-0.636405,5411,Fire-fighters,3.0,-0.212135
33-2011,Firefighters,-1.287125,5411,Fire-fighters,1.0,-1.287125
33-2021,Fire Inspectors and Investigators,-0.1516908,3112,Civil engineering technicians,2.0,-0.0758454
33-2021,Fire Inspectors and Investigators,-0.1516908,3119,Physical and engineering science technicians not elsewhere classified,2.0,-0.0758454
33-2022,Forest Fire Inspectors and Prevention Specialists,-0.3418539,3119,Physical and engineering science technicians not elsewhere classified,1.0,-0.3418539
33-3011,Bailiffs,-0.1705261,3411,Legal and related associate professionals,1.0,-0.1705261
33-3012,Correctional Officers and Jailers,-0.6690897,5413,Prison guards,1.0,-0.6690897
33-3021,Detectives and Criminal Investigators,0.1511265,3355,Police inspectors and detectives,1.0,0.1511265
33-3031,Fish and Game Wardens,-0.5055484,5419,Protective services workers not elsewhere classified,1.0,-0.5055484
33-3041,Parking Enforcement Workers,-0.6273561,5419,Protective services workers not elsewhere classified,1.0,-0.6273561
33-3051,Police and Sheriff's Patrol Officers,-0.6402014,3351,Customs and border inspectors,2.0,-0.3201007
33-3051,Police and Sheriff's Patrol Officers,-0.6402014,5412,Police officers,2.0,-0.3201007
33-3052,Transit and Railroad Police,-0.7447406,5412,Police officers,1.0,-0.7447406
33-9011,Animal Control Workers,-0.3902585,5419,Protective services workers not elsewhere classified,1.0,-0.3902585
33-9021,Private Detectives and Investigators,0.6147625,3411,Legal and related associate professionals,1.0,0.6147625
33-9031,Gaming Surveillance Officers and Gaming Investigators,0.4327424,3411,Legal and related associate professionals,2.0,0.2163712
33-9031,Gaming Surveillance Officers and Gaming Investigators,0.4327424,5414,Security guards,2.0,0.2163712
33-9032,Security Guards,-0.4228095,5414,Security guards,1.0,-0.4228095
33-9091,Crossing Guards,-0.3971661,5419,Protective services workers not elsewhere classified,1.0,-0.3971661
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",-0.3161409,5419,Protective services workers not elsewhere classified,1.0,-0.3161409
33-9093,Transportation Security Screeners,-0.5229555,5414,Security guards,1.0,-0.5229555
33-9099,"Protective Service Workers, All Other",-0.017191,5419,Protective services workers not elsewhere classified,1.0,-0.017191
35-1011,Chefs and Head Cooks,-0.1720309,3434,Chefs,1.0,-0.1720309
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,-0.1501443,3434,Chefs,2.0,-0.07507215
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,-0.1501443,5120,Cooks,2.0,-0.07507215
35-2011,"Cooks, Fast Food",-0.3906226,9411,Fast food preparers,1.0,-0.3906226
35-2012,"Cooks, Institution and Cafeteria",-0.5586923,5120,Cooks,1.0,-0.5586923
35-2013,"Cooks, Private Household",-0.6394508,5120,Cooks,1.0,-0.6394508
35-2014,"Cooks, Restaurant",-0.7585588,5120,Cooks,1.0,-0.7585588
35-2015,"Cooks, Short Order",-0.5674362,5120,Cooks,2.0,-0.2837181
35-2015,"Cooks, Short Order",-0.5674362,9411,Fast food preparers,2.0,-0.2837181
35-2021,Food Preparation Workers,-0.9339887,9412,Kitchen helpers,1.0,-0.9339887
35-3011,Bartenders,-0.4109996,5132,Bartenders,1.0,-0.4109996
35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",-0.3083948,5246,Food service counter attendants,1.0,-0.3083948
35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",-0.3211086,5246,Food service counter attendants,1.0,-0.3211086
35-3031,Waiters and Waitresses,-0.4693402,5131,Waiters,1.0,-0.4693402
35-3041,"Food Servers, Nonrestaurant",-0.4450331,5212,Street food salespersons,2.0,-0.22251655
35-3041,"Food Servers, Nonrestaurant",-0.4450331,5131,Waiters,2.0,-0.22251655
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,-1.432733,5246,Food service counter attendants,2.0,-0.7163665
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,-1.432733,9412,Kitchen helpers,2.0,-0.7163665
35-9021,Dishwashers,-1.561163,9412,Kitchen helpers,1.0,-1.561163
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",0.1821651,5169,Personal services workers not elsewhere classified,1.0,0.1821651
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,-0.3668852,5151,"Cleaning and housekeeping supervisors in offices, hotels and other establishments",2.0,-0.1834426
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,-0.3668852,5152,Domestic housekeepers,2.0,-0.1834426
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",-0.4855586,6113,"Gardeners, horticultural and nursery growers",2.0,-0.2427793
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",-0.4855586,7544,Fumigators and other pest and weed controllers,2.0,-0.2427793
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",-1.093042,5153,Building caretakers,3.0,-0.36434733333333336
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",-1.093042,9112,"Cleaners and helpers in offices, hotels and other establishments",3.0,-0.36434733333333336
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",-1.093042,9123,Window cleaners,3.0,-0.36434733333333336
37-2012,Maids and Housekeeping Cleaners,-1.030813,9111,Domestic cleaners and helpers,2.0,-0.5154065
37-2012,Maids and Housekeeping Cleaners,-1.030813,9112,"Cleaners and helpers in offices, hotels and other establishments",2.0,-0.5154065
37-2021,Pest Control Workers,-0.7243282,7544,Fumigators and other pest and weed controllers,1.0,-0.7243282
37-3011,Landscaping and Groundskeeping Workers,-1.656454,9214,Garden and horticultural labourers,1.0,-1.656454
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",-0.9335945,7544,Fumigators and other pest and weed controllers,1.0,-0.9335945
37-3013,Tree Trimmers and Pruners,-1.580793,6113,"Gardeners, horticultural and nursery growers",1.0,-1.580793
39-1011,Gaming Supervisors,1.015314,4212,"Bookmakers, croupiers and related gaming workers",1.0,1.015314
39-1012,Slot Supervisors,0.0270202,4212,"Bookmakers, croupiers and related gaming workers",1.0,0.0270202
39-1021,First-Line Supervisors of Personal Service Workers,0.6279178,3423,Fitness and recreation instructors and program leaders,10.0,0.06279177999999999
39-1021,First-Line Supervisors of Personal Service Workers,0.6279178,4414,Scribes and related workers,10.0,0.06279177999999999
39-1021,First-Line Supervisors of Personal Service Workers,0.6279178,5113,Travel guides,10.0,0.06279177999999999
39-1021,First-Line Supervisors of Personal Service Workers,0.6279178,5141,Hairdressers,10.0,0.06279177999999999
39-1021,First-Line Supervisors of Personal Service Workers,0.6279178,5142,Beauticians and related workers,10.0,0.06279177999999999
39-1021,First-Line Supervisors of Personal Service Workers,0.6279178,5162,Companions and valets,10.0,0.06279177999999999
39-1021,First-Line Supervisors of Personal Service Workers,0.6279178,5164,Pet groomers and animal care workers,10.0,0.06279177999999999
39-1021,First-Line Supervisors of Personal Service Workers,0.6279178,5169,Personal services workers not elsewhere classified,10.0,0.06279177999999999
39-1021,First-Line Supervisors of Personal Service Workers,0.6279178,5311,Child care workers,10.0,0.06279177999999999
39-1021,First-Line Supervisors of Personal Service Workers,0.6279178,5322,Home-based personal care workers,10.0,0.06279177999999999
39-2011,Animal Trainers,-0.7293655,5164,Pet groomers and animal care workers,1.0,-0.7293655
39-2021,Nonfarm Animal Caretakers,-0.5279816,5164,Pet groomers and animal care workers,1.0,-0.5279816
39-3011,Gaming Dealers,0.0302909,4212,"Bookmakers, croupiers and related gaming workers",1.0,0.0302909
39-3012,Gaming and Sports Book Writers and Runners,0.365378,4212,"Bookmakers, croupiers and related gaming workers",1.0,0.365378
39-3021,Motion Picture Projectionists,-0.6494384,9629,Elementary workers not elsewhere classified,1.0,-0.6494384
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",-0.1112865,9629,Elementary workers not elsewhere classified,1.0,-0.1112865
39-3091,Amusement and Recreation Attendants,-0.2293367,8343,"Crane, hoist and related plant operators",2.0,-0.11466835
39-3091,Amusement and Recreation Attendants,-0.2293367,9629,Elementary workers not elsewhere classified,2.0,-0.11466835
39-3092,Costume Attendants,-0.2958649,3435,Other artistic and cultural associate professionals,1.0,-0.2958649
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",0.2794888,9629,Elementary workers not elsewhere classified,1.0,0.2794888
39-4011,Embalmers,-0.6571462,5163,Undertakers and embalmers,1.0,-0.6571462
39-4021,Funeral Attendants,-0.1577413,5163,Undertakers and embalmers,1.0,-0.1577413
39-4031,"Morticians, Undertakers, and Funeral Directors",-0.1143887,5163,Undertakers and embalmers,1.0,-0.1143887
39-5011,Barbers,-0.5433185,5141,Hairdressers,1.0,-0.5433185
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",-0.6155546,5141,Hairdressers,2.0,-0.3077773
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",-0.6155546,5142,Beauticians and related workers,2.0,-0.3077773
39-5091,"Makeup Artists, Theatrical and Performance",-0.4973671,5142,Beauticians and related workers,1.0,-0.4973671
39-5092,Manicurists and Pedicurists,-0.0792243,5142,Beauticians and related workers,1.0,-0.0792243
39-5093,Shampooers,-0.5005988,5142,Beauticians and related workers,1.0,-0.5005988
39-5094,Skincare Specialists,-0.0372525,5142,Beauticians and related workers,1.0,-0.0372525
39-6011,Baggage Porters and Bellhops,-0.9139996,9621,"Messengers, package deliverers and luggage porters",1.0,-0.9139996
39-6012,Concierges,1.070776,4224,Hotel receptionists,1.0,1.070776
39-7011,Tour Guides and Escorts,0.7355828,5113,Travel guides,1.0,0.7355828
39-7012,Travel Guides,0.552707,5113,Travel guides,1.0,0.552707
39-9011,Childcare Workers,-0.1674963,5311,Child care workers,1.0,-0.1674963
39-9021,Personal Care Aides,-0.2060442,5322,Home-based personal care workers,3.0,-0.0686814
39-9021,Personal Care Aides,-0.2060442,4414,Scribes and related workers,3.0,-0.0686814
39-9021,Personal Care Aides,-0.2060442,5162,Companions and valets,3.0,-0.0686814
39-9031,Fitness Trainers and Aerobics Instructors,-1.2572,3423,Fitness and recreation instructors and program leaders,1.0,-1.2572
39-9032,Recreation Workers,0.0970085,5169,Personal services workers not elsewhere classified,1.0,0.0970085
39-9041,Residential Advisors,0.7105829,5169,Personal services workers not elsewhere classified,1.0,0.7105829
41-1011,First-Line Supervisors of Retail Sales Workers,0.2011382,5222,Shop supervisors,1.0,0.2011382
41-1012,First-Line Supervisors of Non-Retail Sales Workers,1.258639,2433,Technical and medical sales professionals (excluding ICT),9.0,0.1398487777777778
41-1012,First-Line Supervisors of Non-Retail Sales Workers,1.258639,2434,Information and communications technology sales professionals,9.0,0.1398487777777778
41-1012,First-Line Supervisors of Non-Retail Sales Workers,1.258639,3311,Securities and finance dealers and brokers,9.0,0.1398487777777778
41-1012,First-Line Supervisors of Non-Retail Sales Workers,1.258639,3321,Insurance representatives,9.0,0.1398487777777778
41-1012,First-Line Supervisors of Non-Retail Sales Workers,1.258639,3322,Commercial sales representatives,9.0,0.1398487777777778
41-1012,First-Line Supervisors of Non-Retail Sales Workers,1.258639,3324,Trade brokers,9.0,0.1398487777777778
41-1012,First-Line Supervisors of Non-Retail Sales Workers,1.258639,3334,Real estate agents and property managers,9.0,0.1398487777777778
41-1012,First-Line Supervisors of Non-Retail Sales Workers,1.258639,3339,Business services agents not elsewhere classified,9.0,0.1398487777777778
41-1012,First-Line Supervisors of Non-Retail Sales Workers,1.258639,4221,Travel consultants and clerks,9.0,0.1398487777777778
41-2011,Cashiers,-0.1074713,5230,Cashiers and ticket clerks,1.0,-0.1074713
41-2012,Gaming Change Persons and Booth Cashiers,-0.1038614,5230,Cashiers and ticket clerks,1.0,-0.1038614
41-2021,Counter and Rental Clerks,0.1427099,5249,Sales workers not elsewhere classified,1.0,0.1427099
41-2022,Parts Salespersons,-0.0136432,5223,Shop sales assistants,1.0,-0.0136432
41-2031,Retail Salespersons,0.3573965,5223,Shop sales assistants,1.0,0.3573965
41-3011,Advertising Sales Agents,1.122101,3339,Business services agents not elsewhere classified,1.0,1.122101
41-3021,Insurance Sales Agents,1.426945,3321,Insurance representatives,1.0,1.426945
41-3031,"Securities, Commodities, and Financial Services Sales Agents",1.2599,3311,Securities and finance dealers and brokers,2.0,0.62995
41-3031,"Securities, Commodities, and Financial Services Sales Agents",1.2599,3324,Trade brokers,2.0,0.62995
41-3041,Travel Agents,1.278436,3339,Business services agents not elsewhere classified,2.0,0.639218
41-3041,Travel Agents,1.278436,4221,Travel consultants and clerks,2.0,0.639218
41-3099,"Sales Representatives, Services, All Other",1.24178,3322,Commercial sales representatives,1.0,1.24178
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.9530722,2433,Technical and medical sales professionals (excluding ICT),3.0,0.31769073333333336
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.9530722,2434,Information and communications technology sales professionals,3.0,0.31769073333333336
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.9530722,3322,Commercial sales representatives,3.0,0.31769073333333336
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1.039019,3322,Commercial sales representatives,1.0,1.039019
41-9011,Demonstrators and Product Promoters,0.334189,5242,Sales demonstrators,1.0,0.334189
41-9012,Models,-0.5034364,5241,Fashion and other models,1.0,-0.5034364
41-9021,Real Estate Brokers,1.348025,3334,Real estate agents and property managers,1.0,1.348025
41-9022,Real Estate Sales Agents,0.7012568,3334,Real estate agents and property managers,1.0,0.7012568
41-9031,Sales Engineers,1.025903,2434,Information and communications technology sales professionals,1.0,1.025903
41-9041,Telemarketers,1.925633,5244,Contact centre salespersons,1.0,1.925633
41-9091,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",1.511458,5211,Stall and market salespersons,4.0,0.3778645
41-9091,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",1.511458,5212,Street food salespersons,4.0,0.3778645
41-9091,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",1.511458,5243,Door to door salespersons,4.0,0.3778645
41-9091,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",1.511458,9520,Street vendors (excluding food),4.0,0.3778645
