soc_code,soc_title,aioe,isco_code,isco_title,isco_count,aioe_weighted
17-3029,"Engineering Technicians, Except Drafters, All Other",-0.0792918,3119,Physical and engineering science technicians not elsewhere classified,4.0,-0.01982295
17-3031,Surveying and Mapping Technicians,-0.2902489,3112,Civil engineering technicians,1.0,-0.2902489
19-1011,Animal Scientists,0.9717278,2131,"Biologists, botanists, zoologists and related professionals",1.0,0.9717278
19-1012,Food Scientists and Technologists,0.5725463,2131,"Biologists, botanists, zoologists and related professionals",1.0,0.5725463
19-1013,Soil and Plant Scientists,0.6091695,2131,"Biologists, botanists, zoologists and related professionals",2.0,0.30458475
19-1013,Soil and Plant Scientists,0.6091695,2132,"Farming, forestry and fisheries advisers",2.0,0.30458475
19-1020,Biologists,0.6616595,,,,
19-1021,Biochemists and Biophysicists,0.7935216,2131,"Biologists, botanists, zoologists and related professionals",1.0,0.7935216
19-1022,Microbiologists,0.4742087,2131,"Biologists, botanists, zoologists and related professionals",1.0,0.4742087
19-1023,Zoologists and Wildlife Biologists,0.3266713,2131,"Biologists, botanists, zoologists and related professionals",1.0,0.3266713
19-1029,"Biological Scientists, All Other",0.8829154,2131,"Biologists, botanists, zoologists and related professionals",1.0,0.8829154
19-1031,Conservation Scientists,0.0744339,2133,Environmental protection professionals,1.0,0.0744339
19-1032,Foresters,-0.1960901,2132,"Farming, forestry and fisheries advisers",1.0,-0.1960901
19-1041,Epidemiologists,1.284233,2131,"Biologists, botanists, zoologists and related professionals",1.0,1.284233
19-1042,"Medical Scientists, Except Epidemiologists",1.167239,2131,"Biologists, botanists, zoologists and related professionals",1.0,1.167239
19-2011,Astronomers,1.034772,2111,Physicists and astronomers,1.0,1.034772
19-2012,Physicists,1.096606,2111,Physicists and astronomers,1.0,1.096606
19-2021,Atmospheric and Space Scientists,1.259493,2112,Meteorologists,1.0,1.259493
19-2031,Chemists,0.3266484,2113,Chemists,1.0,0.3266484
19-2032,Materials Scientists,0.7858083,2113,Chemists,2.0,0.39290415
19-2032,Materials Scientists,0.7858083,2146,"Mining engineers, metallurgists and related professionals",2.0,0.39290415
19-2041,"Environmental Scientists and Specialists, Including Health",0.8702797,2133,Environmental protection professionals,1.0,0.8702797
19-2042,"Geoscientists, Except Hydrologists and Geographers",0.5673001,2114,Geologists and geophysicists,1.0,0.5673001
19-2043,Hydrologists,0.5548691,2114,Geologists and geophysicists,1.0,0.5548691
19-2099,"Physical Scientists, All Other",0.9125224,211,Physical and earth science professionals,1.0,0.9125224
