person_id,year,occ_code,occ_major_group,white_collar,blue_collar,ai_exposure,annual_wage,log_wage,sex,age,state,edu,yr_2021,ai_x_yr2021,yr_2022,ai_x_yr2022,yr_2023,ai_x_yr2023,yr_2024,ai_x_yr2024
100366,2020,71,7,0,1,-0.3228701137548854,1700.0,7.438383530044307,1.0,59.0,3.0,9.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0
100388,2020,61,6,0,1,0.1513889642307972,8746.0,9.076351731972865,1.0,72.0,5.0,9.0,0,0.0,0,0.0,0,0.0,0,0.0
100391,2020,25,2,1,0,0.06932169621067275,100.0,4.605170185988092,2.0,35.0,5.0,4.0,0,0.0,0,0.0,0,0.0,0,0.0
100397,2020,22,2,1,0,0.23363319630473772,1105.0,7.007600613951853,2.0,41.0,1.0,3.0,0,0.0,0,0.0,0,0.0,0,0.0
100398,2020,14,1,1,0,0.096901219869185,2294.0,7.738052297689316,1.0,45.0,1.0,4.0,0,0.0,0,0.0,0,0.0,0,0.0
100399,2020,13,1,1,0,0.2649464281801939,2050.0,7.6255950721324535,1.0,68.0,1.0,5.0,0,0.0,0,0.0,0,0.0,0,0.0
100409,2020,25,2,1,0,0.06932169621067275,1900.0,7.549609165154532,2.0,50.0,3.0,3.0,0,0.0,0,0.0,0,0.0,0,0.0
100410,2020,62,6,0,1,0.01205130738931425,518.0,6.249975242259483,2.0,20.0,3.0,8.0,0,0.0,0,0.0,0,0.0,0,0.0
100422,2020,53,5,0,1,0.40991099791666663,500.0,6.214608098422191,2.0,44.0,2.0,4.0,0,0.0,0,0.0,0,0.0,0,0.0
100423,2020,27,2,1,0,0.36867467552083333,900.0,6.802394763324311,1.0,51.0,2.0,8.0,0,0.0,0,0.0,0,0.0,0,0.0
100426,2020,14,1,1,0,0.096901219869185,1800.0,7.495541943884256,1.0,53.0,5.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0
100431,2020,81,8,0,1,-0.42234737171717174,78.0,4.356708826689592,1.0,67.0,5.0,9.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0
100435,2020,42,4,1,0,0.01051028608479534,202.0,5.308267697401205,2.0,28.0,2.0,5.0,0,0.0,0,0.0,0,0.0,0,0.0
100436,2020,13,1,1,0,0.2649464281801939,2750.0,7.919356190660617,2.0,56.0,4.0,2.0,0,0.0,0,0.0,0,0.0,0,0.0
100437,2020,14,1,1,0,0.096901219869185,1182.0,7.074963197966044,1.0,31.0,4.0,8.0,0,0.0,0,0.0,0,0.0,0,0.0
100445,2020,59,5,0,1,0.2407843772218851,1053.0,6.959398512133975,1.0,27.0,2.0,9.0,0,0.0,0,0.0,0,0.0,0,0.0
